date,temp_max_c,temp_min_c,precip_mm,wind_max_kmh,city,timezone
2026-04-27,,,,,Delhi,Asia/Kolkata
2026-04-28,,,,,Delhi,Asia/Kolkata
2026-04-29,,,,,Delhi,Asia/Kolkata
2026-04-30,,,,,Delhi,Asia/Kolkata
2026-05-01,,,,,Delhi,Asia/Kolkata
2026-05-02,,,,,Delhi,Asia/Kolkata
2026-05-03,,,,,Delhi,Asia/Kolkata
2026-05-04,,,,,Delhi,Asia/Kolkata
2026-05-05,,,,,Delhi,Asia/Kolkata
2026-05-06,,,,,Delhi,Asia/Kolkata
2026-05-07,30.5,23.6,,19.2,Delhi,Asia/Kolkata
2026-05-08,34.4,22.1,0.4,14.5,Delhi,Asia/Kolkata
2026-05-09,35.5,24.8,0.0,11.9,Delhi,Asia/Kolkata
2026-05-10,37.2,26.2,0.0,12.2,Delhi,Asia/Kolkata
2026-05-11,37.7,27.3,0.0,10.0,Delhi,Asia/Kolkata
2026-05-12,38.8,27.9,7.0,17.3,Delhi,Asia/Kolkata
2026-05-13,39.0,26.7,0.3,11.7,Delhi,Asia/Kolkata
2026-05-14,39.4,25.9,0.2,15.4,Delhi,Asia/Kolkata
2026-05-15,40.0,28.5,0.0,16.8,Delhi,Asia/Kolkata
2026-05-16,40.4,29.0,0.0,17.1,Delhi,Asia/Kolkata
2026-05-17,41.2,29.9,0.1,21.5,Delhi,Asia/Kolkata
2026-05-18,43.3,30.0,0.0,18.6,Delhi,Asia/Kolkata
2026-05-19,44.4,31.1,0.0,16.1,Delhi,Asia/Kolkata
2026-05-20,43.6,32.1,0.0,11.6,Delhi,Asia/Kolkata
2026-05-21,42.8,33.2,0.0,18.8,Delhi,Asia/Kolkata
2026-05-22,42.0,32.0,0.0,14.3,Delhi,Asia/Kolkata
2026-05-23,41.2,31.6,0.0,18.1,Delhi,Asia/Kolkata
2026-05-24,42.2,30.0,0.0,16.8,Delhi,Asia/Kolkata
2026-05-25,43.0,32.8,0.0,16.5,Delhi,Asia/Kolkata
2026-05-26,42.5,31.8,0.0,19.5,Delhi,Asia/Kolkata
2026-05-27,42.5,31.0,0.0,14.7,Delhi,Asia/Kolkata
2026-05-28,41.3,29.0,1.1,14.9,Delhi,Asia/Kolkata
2026-05-29,33.8,24.7,1.8,19.0,Delhi,Asia/Kolkata
2026-05-30,34.8,24.0,1.7,15.5,Delhi,Asia/Kolkata
2026-05-31,36.2,23.4,0.0,5.6,Delhi,Asia/Kolkata
2026-06-01,38.0,26.1,0.6,4.5,Delhi,Asia/Kolkata
2026-06-02,38.2,27.6,0.0,6.4,Delhi,Asia/Kolkata
2026-04-27,,,,,London,Europe/London
2026-04-28,,,,,London,Europe/London
2026-04-29,,,,,London,Europe/London
2026-04-30,,,,,London,Europe/London
