scraped_at_utc,city,timezone,temp_c,humidity_pct,precip_mm,wind_kmh,weather_code
2026-05-27T01:54:58Z,Calgary,America/Edmonton,22.9,38,0.0,26.6,2
2026-05-26T03:42:10Z,Delhi,Asia/Kolkata,36.3,21,0.0,6.0,0
2026-05-26T03:44:57Z,Delhi,Asia/Kolkata,37.0,20,0.0,6.4,0
2026-05-26T03:48:31Z,Delhi,Asia/Kolkata,37.0,20,0.0,6.4,0
2026-05-26T03:49:55Z,Delhi,Asia/Kolkata,37.0,20,0.0,6.4,0
2026-05-26T03:54:32Z,Delhi,Asia/Kolkata,37.0,20,0.0,6.4,0
2026-05-26T04:09:21Z,Delhi,Asia/Kolkata,37.5,19,0.0,6.8,0
2026-05-27T01:54:58Z,Edmonton,America/Edmonton,26.3,37,0.0,13.3,0
2026-05-26T03:42:10Z,London,Europe/London,22.8,56,0.0,5.0,0
2026-05-26T03:44:57Z,London,Europe/London,22.8,56,0.0,5.0,0
2026-05-26T03:48:31Z,London,Europe/London,22.7,56,0.0,4.3,0
2026-05-26T03:49:55Z,London,Europe/London,22.7,56,0.0,4.3,0
2026-05-26T03:54:32Z,London,Europe/London,22.7,56,0.0,4.3,0
2026-05-26T04:09:21Z,London,Europe/London,22.6,56,0.0,4.0,0
2026-05-27T01:54:58Z,Montreal,America/Toronto,21.5,44,0.0,24.0,3
2026-05-26T03:42:10Z,New York,America/New_York,17.3,92,0.0,2.6,1
2026-05-26T03:44:57Z,New York,America/New_York,17.3,92,0.0,2.6,1
2026-05-26T03:48:31Z,New York,America/New_York,17.3,91,0.0,1.5,1
2026-05-26T03:49:55Z,New York,America/New_York,17.3,91,0.0,1.5,1
2026-05-26T03:54:32Z,New York,America/New_York,17.3,91,0.0,1.5,1
2026-05-26T04:09:21Z,New York,America/New_York,17.2,90,0.0,0.8,1
2026-05-27T01:54:58Z,Ottawa,America/Toronto,22.6,41,0.0,21.0,0
2026-05-27T01:54:58Z,Quebec City,America/Toronto,16.5,93,0.0,9.7,1
2026-05-26T03:42:10Z,Sydney,Australia/Sydney,18.0,93,0.1,6.3,51
2026-05-26T03:44:57Z,Sydney,Australia/Sydney,18.1,92,0.1,7.1,51
2026-05-26T03:48:31Z,Sydney,Australia/Sydney,18.1,92,0.1,7.1,51
2026-05-26T03:49:55Z,Sydney,Australia/Sydney,18.1,92,0.1,7.1,51
2026-05-26T03:54:32Z,Sydney,Australia/Sydney,18.1,92,0.1,7.1,51
2026-05-26T04:09:21Z,Sydney,Australia/Sydney,18.2,91,0.1,7.8,51
2026-05-26T03:42:10Z,Tokyo,Asia/Tokyo,24.8,59,0.0,3.1,3
2026-05-26T03:44:57Z,Tokyo,Asia/Tokyo,24.8,58,0.0,3.1,3
2026-05-26T03:48:31Z,Tokyo,Asia/Tokyo,24.8,58,0.0,3.1,3
2026-05-26T03:49:55Z,Tokyo,Asia/Tokyo,24.8,58,0.0,3.1,3
2026-05-26T03:54:32Z,Tokyo,Asia/Tokyo,24.8,58,0.0,3.1,3
2026-05-26T04:09:21Z,Tokyo,Asia/Tokyo,24.8,58,0.0,3.1,3
2026-05-27T01:54:58Z,Toronto,America/Toronto,16.8,76,0.0,12.7,3
2026-05-27T01:54:58Z,Vancouver,America/Vancouver,15.8,67,0.0,6.3,0
2026-05-27T01:54:58Z,Winnipeg,America/Winnipeg,23.5,36,0.0,16.1,0
